date,pm2.5,pm10,o3,no2,so2,co
2017-12-07,72,26,,,21,
2017-12-08,85,26,,,23,
2017-12-09,86,36,,,22,
2017-12-10,109,38,,,24,
2017-12-11,114,28,,,24,
2017-12-12,91,34,,,23,
2017-12-13,106,34,,,23,
2017-12-14,105,21,,,25,
2017-12-15,73,13,,,24,
2017-12-16,51,7,,,23,
2017-12-17,31,,,,,
2017-12-18,,,,,,
2017-12-19,,,,,,
2017-12-20,,,,,,
2017-12-21,,,,,,
2017-12-22,,,,,,
2017-12-23,,,,,,
2017-12-24,,,,,,
2017-12-25,,38,,,20,
2017-12-26,114,13,,,18,
2017-12-27,47,6,,,20,
2017-12-28,25,3,,,20,
2017-12-29,14,5,,,21,
2017-12-30,20,14,,,21,
2017-12-31,55,25,,,22,
2018-01-01,82,21,,,22,
2018-01-02,74,20,,,23,
2018-01-03,70,11,,,24,
2018-01-04,47,13,,,26,
2018-01-05,52,9,,,26,
2018-01-06,36,15,,,27,
2018-01-07,59,18,,,26,
2018-01-08,67,26,,,27,
2018-01-09,86,3,,,20,
2018-01-10,10,2,,,20,
2018-01-11,8,3,,,19,
2018-01-12,12,4,,,18,
2018-01-13,16,13,,,20,
2018-01-14,52,10,,,22,
2018-01-15,43,17,,,23,
2018-01-16,62,20,,,26,
2018-01-17,70,18,,,26,
2018-01-18,65,25,,,27,
2018-01-19,83,18,,,27,
2018-01-20,64,17,,,26,
2018-01-21,64,24,,,27,
2018-01-22,80,18,,,28,
2018-01-23,65,19,,,29,
2018-01-24,69,14,,,29,
2018-01-25,57,11,,,29,
2018-01-26,50,13,,,27,
2018-01-27,54,13,,,22,
2018-01-28,54,,,,,
2018-01-29,,,,,,
2018-01-30,,,,,,
2018-01-31,,,,,,
2018-02-01,,,,,,
2018-02-02,,,,,,
2018-02-03,,,,,,
2018-02-04,,,,,,
2018-02-05,,,,,,
2018-02-06,,,,,,
2018-02-07,,,,,,
2018-02-08,,,,,,
2018-02-09,,,,,,
2018-02-10,,,,,,
2018-02-11,,,,,,
2018-02-12,,,,,,
2018-02-13,,,,,,
2018-02-14,,,,,,
2018-02-15,,,,,,
2018-02-16,,,,,,
2018-02-17,,,,,,
2018-02-18,,,,,,
2018-02-19,,,,,,
2018-02-20,,,,,,
2018-02-21,,,,,,
2018-02-22,,,,,,
2018-02-23,,,,,,
2018-02-24,,,,,,
2018-02-25,,,,,,
2018-02-26,,,,,,
2018-02-27,,,,,,
2018-02-28,,,,,,
2018-03-01,,,,,,
2018-03-02,,,,,,
2018-03-03,,,,,,
2018-03-04,,,,,,
2018-03-05,,,,,,
2018-03-06,,,,,,
2018-03-07,,,,,,
2018-03-08,,,,,,
2018-03-09,,,,,,
2018-03-10,,,,,,
2018-03-11,,,,,,
2018-03-12,,,,,,
2018-03-13,,,,,,
2018-03-14,,,,,,
2018-03-15,,,,,,
2018-03-16,,,,,,
2018-03-17,,,,,,
2018-03-18,,,,,,
